session,voie,sexe,statut_du_candidat,academie,serie,inscrits,presents,admis_au_1er_groupe,refuses_au_1er_groupe,ajournes_passant_les_epreuves_du_rattrapage,admis_au_rattrapage,refuses_au_rattrapage,admis_totaux,mention_tb_avec_les_felicitations,mention_tb_sans_les_felicitations,mention_b,mention_ab,sans_mention,refuses_totaux
2021,bac_general,F,enseignement_a_distance,aix-marseille,general,74,70,66,2,2,0,2,66,0,16,20,22,8,4
2021,bac_general,F,enseignement_a_distance,amiens,general,33,33,30,2,1,0,1,30,0,3,13,6,8,3
2021,bac_general,F,enseignement_a_distance,besancon,general,26,25,23,2,0,0,0,23,0,2,15,6,0,2
2021,bac_general,F,enseignement_a_distance,bordeaux,general,63,61,56,4,1,0,1,56,1,14,22,13,6,5
2021,bac_general,F,enseignement_a_distance,clermont-ferrand,general,31,31,26,5,0,0,0,26,0,3,13,9,1,5
2021,bac_general,F,enseignement_a_distance,corse,general,10,10,10,0,0,0,0,10,0,3,4,2,1,0
2021,bac_general,F,enseignement_a_distance,creteil,general,72,71,65,4,2,1,1,66,2,12,27,19,6,5
2021,bac_general,F,enseignement_a_distance,dijon,general,21,19,16,1,2,0,2,16,0,4,7,2,3,3
2021,bac_general,F,enseignement_a_distance,grenoble,general,79,76,75,0,1,0,1,75,2,16,29,19,9,1
2021,bac_general,F,enseignement_a_distance,guadeloupe,general,7,7,6,0,1,1,0,7,0,1,3,1,2,0
2021,bac_general,F,enseignement_a_distance,guyane,general,6,6,5,1,0,0,0,5,0,0,2,1,2,1
2021,bac_general,F,enseignement_a_distance,la_reunion,general,17,16,16,0,0,0,0,16,0,5,6,3,2,0
2021,bac_general,F,enseignement_a_distance,lille,general,51,48,47,1,0,0,0,47,3,10,23,4,7,1
2021,bac_general,F,enseignement_a_distance,limoges,general,13,13,12,1,0,0,0,12,0,1,6,4,1,1
2021,bac_general,F,enseignement_a_distance,lyon,general,75,73,68,3,2,1,1,69,3,12,25,14,15,4
2021,bac_general,F,enseignement_a_distance,martinique,general,3,3,3,0,0,0,0,3,0,0,1,1,1,0
2021,bac_general,F,enseignement_a_distance,montpellier,general,63,63,61,2,0,0,0,61,1,13,20,21,6,2
2021,bac_general,F,enseignement_a_distance,nancy-metz,general,26,22,20,1,1,0,1,20,0,1,8,9,2,2
2021,bac_general,F,enseignement_a_distance,nantes,general,59,56,53,1,2,1,1,54,1,6,21,15,11,2
2021,bac_general,F,enseignement_a_distance,nice,general,58,56,50,2,4,0,4,50,0,13,20,8,9,6
2021,bac_general,F,enseignement_a_distance,normandie,general,50,48,43,4,1,0,1,43,1,9,8,14,11,5
2021,bac_general,F,enseignement_a_distance,orleans-tours,general,47,45,39,3,3,0,3,39,1,11,10,11,6,6
2021,bac_general,F,enseignement_a_distance,paris,general,55,55,55,0,0,0,0,55,2,15,16,14,8,0
2021,bac_general,F,enseignement_a_distance,poitiers,general,22,22,20,2,0,0,0,20,2,2,6,7,3,2
2021,bac_general,F,enseignement_a_distance,reims,general,15,15,13,2,0,0,0,13,0,1,4,4,4,2
2021,bac_general,F,enseignement_a_distance,rennes,general,58,51,49,1,1,1,0,50,1,9,16,13,11,1
2021,bac_general,F,enseignement_a_distance,strasbourg,general,20,20,20,0,0,0,0,20,3,6,6,2,3,0
2021,bac_general,F,enseignement_a_distance,toulouse,general,61,61,56,3,2,1,1,57,1,13,24,10,9,4
2021,bac_general,F,enseignement_a_distance,versailles,general,113,110,105,4,1,1,0,106,2,23,37,22,22,4
2021,bac_general,F,individuel,aix-marseille,general,130,90,61,21,8,8,0,69,0,10,12,12,35,21
2021,bac_general,F,individuel,amiens,general,56,55,28,21,6,3,3,31,0,4,10,6,11,24
2021,bac_general,F,individuel,besancon,general,42,31,23,4,4,2,2,25,0,3,7,7,8,6
2021,bac_general,F,individuel,bordeaux,general,106,74,43,19,12,8,4,51,0,2,7,14,28,23
2021,bac_general,F,individuel,clermont-ferrand,general,32,29,15,13,1,1,0,16,0,1,4,3,8,13
2021,bac_general,F,individuel,corse,general,5,3,3,0,0,0,0,3,0,0,1,0,2,0
2021,bac_general,F,individuel,creteil,general,234,167,93,44,30,19,11,112,2,5,25,22,58,55
2021,bac_general,F,individuel,dijon,general,39,30,19,11,0,0,0,19,0,0,8,7,4,11
2021,bac_general,F,individuel,grenoble,general,75,60,30,14,16,8,8,38,2,2,5,8,21,22
2021,bac_general,F,individuel,guadeloupe,general,11,9,7,0,2,1,1,8,0,2,1,4,1,1
2021,bac_general,F,individuel,guyane,general,6,3,0,0,3,3,0,3,0,0,0,0,3,0
2021,bac_general,F,individuel,la_reunion,general,15,10,6,4,0,0,0,6,0,0,1,4,1,4
2021,bac_general,F,individuel,lille,general,89,50,27,13,10,6,4,33,0,2,8,4,19,17
2021,bac_general,F,individuel,limoges,general,9,5,4,0,1,1,0,5,0,0,0,0,5,0
2021,bac_general,F,individuel,lyon,general,157,109,57,36,16,5,11,62,0,5,5,15,37,47
2021,bac_general,F,individuel,martinique,general,15,10,6,2,2,2,0,8,0,0,1,0,7,2
2021,bac_general,F,individuel,mayotte,general,31,19,0,14,5,1,4,1,0,0,0,0,1,18
2021,bac_general,F,individuel,montpellier,general,106,70,49,14,7,4,3,53,3,7,9,15,19,17
2021,bac_general,F,individuel,nancy-metz,general,47,33,10,14,9,5,4,15,0,1,0,3,11,18
2021,bac_general,F,individuel,nantes,general,114,93,60,24,9,4,5,64,0,4,5,20,35,29
2021,bac_general,F,individuel,nice,general,110,93,62,21,10,6,4,68,2,6,20,15,25,25
2021,bac_general,F,individuel,normandie,general,74,56,32,13,11,6,5,38,0,2,7,11,18,18
2021,bac_general,F,individuel,orleans-tours,general,57,40,13,15,12,5,7,18,0,0,2,4,12,22
2021,bac_general,F,individuel,paris,general,422,384,319,36,29,22,7,341,2,20,58,119,142,43
2021,bac_general,F,individuel,poitiers,general,38,21,16,0,5,1,4,17,0,0,6,7,4,4
2021,bac_general,F,individuel,reims,general,23,20,6,10,4,3,1,9,0,0,0,1,8,11
2021,bac_general,F,individuel,rennes,general,84,66,45,12,9,4,5,49,0,2,13,17,17,17
2021,bac_general,F,individuel,strasbourg,general,86,75,57,14,4,1,3,58,0,8,16,18,16,17
2021,bac_general,F,individuel,toulouse,general,71,47,27,10,10,5,5,32,0,0,5,10,17,15
