Année;Code région académique;Code région Insee;Libellé région académique;Discipline;IPS moyen;Caractéristiques;Score moyen;Ecart type;Groupe 1;Groupe 2;Groupe 3;Groupe 4;Groupe 5;Groupe 6
2017;01;84;AUVERGNE-RHONE-ALPES;Mathématiques;107.5;Ensemble;254;49.0;10.2;16.7;22.4;19.8;14.2;16.7
2017;05;94;CORSE;Mathématiques;100.5;Fille;241;47.3;14.4;22.2;25.1;17.9;10.2;10.3
2017;06;44;GRAND EST;Français;100.3;Fille;257;49.2;9.6;16.8;20.7;19.7;14.7;18.5
2017;06;44;GRAND EST;Mathématiques;100.3;Ensemble;252;48.8;10.9;17.7;22.7;19.6;13.6;15.4
2017;06;44;GRAND EST;Mathématiques;100.3;Garçon;254;50.2;11.0;16.9;21.6;19.5;13.8;17.1
2017;07;01;GUADELOUPE;Mathématiques;88.8;Fille;225;46.3;28.5;24.4;20.3;13.3;7.7;5.9
2017;07;01;GUADELOUPE;Mathématiques;88.8;Garçon;222;49.8;32.7;23.0;19.0;11.1;7.4;6.8
2017;08;03;GUYANE;Français;72.0;Ensemble;200;54.1;52.9;18.4;11.9;7.9;4.8;4.1
2017;08;03;GUYANE;Mathématiques;72.0;Garçon;197;51.7;55.9;19.7;11.4;6.4;3.3;3.2
2017;10;11;ILE-DE-FRANCE;Français;111.0;Fille;263;52.0;8.7;14.8;19.0;18.5;15.7;23.3
2017;10;11;ILE-DE-FRANCE;Mathématiques;111.0;Fille;250;49.7;12.6;19.3;22.3;18.2;12.7;15.0
2017;11;04;LA REUNION;Français;82.5;Garçon;226;44.9;29.0;26.0;19.1;12.1;6.7;7.0
2017;11;04;LA REUNION;Mathématiques;82.5;Garçon;230;47.0;26.1;24.2;20.5;13.0;7.9;8.3
2017;12;02;MARTINIQUE;Français;92.8;Ensemble;234;50.6;24.4;21.4;18.7;15.0;10.5;10.0
2017;12;02;MARTINIQUE;Français;92.8;Fille;241;49.7;19.4;20.9;20.0;15.5;12.1;12.0
2017;12;02;MARTINIQUE;Français;92.8;Garçon;228;50.6;28.9;21.9;17.4;14.6;9.1;8.1
2017;14;28;NORMANDIE;Français;101.7;Ensemble;245;47.3;14.4;21.2;22.0;17.8;12.4;12.3
2017;14;28;NORMANDIE;Français;101.7;Garçon;239;45.8;17.5;23.0;22.2;16.7;10.9;9.7
2017;15;75;NOUVELLE-AQUITAINE;Mathématiques;105.8;Ensemble;252;50.0;11.3;17.2;22.6;19.6;13.8;15.6
2017;16;76;OCCITANIE;Mathématiques;105.1;Fille;249;48.8;11.8;18.8;23.9;19.4;12.7;13.5
2017;17;52;PAYS DE LA LOIRE;Français;107.2;Fille;260;48.3;8.3;15.0;20.3;20.4;16.5;19.5
2017;17;52;PAYS DE LA LOIRE;Français;107.2;Garçon;247;46.9;13.7;19.4;22.0;18.9;12.9;13.0
2017;17;52;PAYS DE LA LOIRE;Mathématiques;107.2;Garçon;258;50.1;9.2;14.9;21.4;20.3;15.4;18.9
2017;18;93;PROVENCE-ALPES-COTE D'AZUR;Mathématiques;104.1;Garçon;252;49.6;11.9;17.6;21.9;19.2;13.4;16.0
2018;01;84;AUVERGNE-RHONE-ALPES;Français;107.3;Ensemble;258;50.2;10.1;15.6;21.3;19.1;14.5;19.4
2018;01;84;AUVERGNE-RHONE-ALPES;Français;107.3;Fille;264;50.6;7.9;13.6;20.3;19.7;15.8;22.7
2018;01;84;AUVERGNE-RHONE-ALPES;Mathématiques;107.3;Fille;250;44.1;10.4;17.8;24.0;21.2;13.9;12.7
2018;02;27;BOURGOGNE-FRANCHE-COMTE;Français;101.9;Ensemble;254;48.0;10.2;17.5;22.9;19.0;13.8;16.6
2018;02;27;BOURGOGNE-FRANCHE-COMTE;Français;101.9;Fille;260;49.1;8.0;15.2;22.4;20.0;14.9;19.5
2018;02;27;BOURGOGNE-FRANCHE-COMTE;Français;101.9;Garçon;249;46.3;12.3;19.6;23.4;18.1;12.7;14.0
2018;04;24;CENTRE-VAL DE LOIRE;Mathématiques;103.4;Garçon;254;49.2;11.5;16.5;21.2;19.8;14.4;16.6
2018;05;94;CORSE;Français;100.5;Ensemble;254;51.4;11.5;17.0;21.9;18.7;13.9;17.0
2018;05;94;CORSE;Français;100.5;Garçon;246;49.1;13.8;19.9;23.0;17.6;11.9;13.7
2018;05;94;CORSE;Mathématiques;100.5;Fille;240;44.7;15.2;23.3;23.2;18.3;11.9;8.1
2018;06;44;GRAND EST;Mathématiques;100.4;Fille;246;43.7;12.2;19.5;24.2;20.5;12.9;10.8
2018;08;03;GUYANE;Français;72.7;Garçon;205;49.5;48.4;20.4;14.4;9.0;4.3;3.5
2018;09;32;HAUTS-DE-FRANCE;Français;96.6;Fille;253;47.2;10.5;18.2;23.5;19.1;13.2;15.6
2018;09;32;HAUTS-DE-FRANCE;Mathématiques;96.6;Fille;240;43.3;15.3;22.1;24.3;18.8;10.9;8.6
2018;10;11;ILE-DE-FRANCE;Français;110.7;Fille;264;53.0;8.9;14.3;20.1;18.5;14.7;23.7
2018;12;02;MARTINIQUE;Mathématiques;92.2;Fille;228;43.4;25.5;23.9;22.8;14.5;7.6;5.7
2018;13;06;MAYOTTE;Français;68.1;Fille;179;36.8;74.9;16.1;5.5;1.7;1.0;0.8
2018;14;28;NORMANDIE;Mathématiques;101.7;Ensemble;247;46.1;13.5;19.1;22.6;19.5;13.1;12.2
2018;15;75;NOUVELLE-AQUITAINE;Français;105.8;Fille;260;51.1;9.4;15.0;20.9;19.0;14.7;21.1
2018;15;75;NOUVELLE-AQUITAINE;Mathématiques;105.8;Fille;246;43.6;11.9;19.4;24.4;20.8;12.7;10.7
2018;16;76;OCCITANIE;Français;105.3;Garçon;249;49.9;13.7;18.8;21.9;17.6;12.6;15.4
2018;18;93;PROVENCE-ALPES-COTE D'AZUR;Mathématiques;104.0;Fille;245;44.1;12.8;20.1;24.5;19.9;12.0;10.7
2018;18;93;PROVENCE-ALPES-COTE D'AZUR;Mathématiques;104.0;Garçon;252;51.2;13.6;16.6;19.9;19.0;14.1;16.8
2019;01;84;AUVERGNE-RHONE-ALPES;Français;107.3;Ensemble;259;48.8;11.6;13.8;17.4;19.1;17.3;20.8
2019;02;27;BOURGOGNE-FRANCHE-COMTE;Français;102.1;Ensemble;256;47.9;11.9;15.1;18.5;19.3;16.5;18.7
2019;02;27;BOURGOGNE-FRANCHE-COMTE;Français;102.1;Fille;263;46.1;8.0;12.9;18.1;20.5;18.4;22.1
2019;03;53;BRETAGNE;Français;108.5;Ensemble;261;47.0;9.6;13.0;17.9;19.7;18.2;21.5
2019;04;24;CENTRE-VAL DE LOIRE;Français;103.5;Fille;263;45.8;7.9;13.1;19.5;19.7;18.2;21.6
2019;04;24;CENTRE-VAL DE LOIRE;Mathématiques;103.5;Fille;248;45.4;13.1;19.4;22.8;19.1;12.7;12.9
2019;05;94;CORSE;Mathématiques;100.8;Ensemble;237;51.7;21.6;21.0;19.4;15.5;11.0;11.5
2019;07;01;GUADELOUPE;Français;88.5;Fille;248;48.5;16.7;16.6;19.2;17.3;14.8;15.4
2019;07;01;GUADELOUPE;Français;88.5;Garçon;228;49.8;31.2;19.2;16.1;13.6;10.6;9.3
2019;09;32;HAUTS-DE-FRANCE;Français;97.0;Ensemble;247;48.9;17.0;17.1;18.5;17.8;14.2;15.3
2019;12;02;MARTINIQUE;Français;93.3;Ensemble;241;50.8;22.0;16.1;18.3;16.3;14.3;13.1
2019;13;06;MAYOTTE;Français;68.1;Fille;188;55.5;59.6;16.6;11.5;7.0;3.4;2.0
2019;14;28;NORMANDIE;Français;101.9;Fille;258;47.4;10.8;14.6;18.4;19.2;17.5;19.6
2019;14;28;NORMANDIE;Français;101.9;Garçon;244;48.5;18.6;18.2;18.8;17.2;13.7;13.5
2019;14;28;NORMANDIE;Mathématiques;101.9;Ensemble;246;49.4;17.1;19.0;19.9;17.3;12.4;14.2
2019;15;75;NOUVELLE-AQUITAINE;Français;106.0;Ensemble;258;48.8;11.9;14.0;17.8;19.0;16.9;20.4
2019;17;52;PAYS DE LA LOIRE;Mathématiques;107.3;Garçon;257;53.7;13.9;15.1;17.8;17.4;14.8;21.0
