Session,Série,Sexe,Statut du candidat,Libellé académie,présents,admis,taux_reussite,taux_hist
2021,BAC GENERAL,FEMININ,ENSEIGNEMENT A DISTANCE,CRETEIL,71,66,92.96,83.38199999999999
2021,BAC GENERAL,FEMININ,INDIVIDUEL,CRETEIL,167,112,67.07,57.525999999999996
2021,BAC GENERAL,FEMININ,INDIVIDUEL,BORDEAUX,74,51,68.92,61.358000000000004
2021,BAC GENERAL,FEMININ,INDIVIDUEL,BESANCON,31,25,80.65,79.176
2021,BAC GENERAL,FEMININ,INDIVIDUEL,AMIENS,55,31,56.36,57.910000000000004
2021,BAC GENERAL,FEMININ,INDIVIDUEL,AIX-MARSEILLE,90,69,76.67,58.034000000000006
2021,BAC GENERAL,FEMININ,ENSEIGNEMENT A DISTANCE,VERSAILLES,110,106,96.36,83.72999999999999
2021,BAC GENERAL,FEMININ,ENSEIGNEMENT A DISTANCE,TOULOUSE,61,57,93.44,78.44200000000001
2021,BAC GENERAL,FEMININ,ENSEIGNEMENT A DISTANCE,RENNES,51,50,98.04,83.196
2021,BAC GENERAL,FEMININ,INDIVIDUEL,NANCY-METZ,33,15,45.45,44.58
2021,BAC GENERAL,FEMININ,INDIVIDUEL,MONTPELLIER,70,53,75.71,72.298
2021,BAC GENERAL,FEMININ,INDIVIDUEL,LYON,109,62,56.88,52.370000000000005
2021,BAC GENERAL,FEMININ,INDIVIDUEL,LILLE,50,33,66.0,50.172000000000004
2021,BAC GENERAL,FEMININ,INDIVIDUEL,GRENOBLE,60,38,63.33,55.172000000000004
2021,BAC GENERAL,FEMININ,INDIVIDUEL,DIJON,30,19,63.33,63.53399999999999
2021,BAC GENERAL,FEMININ,ENSEIGNEMENT A DISTANCE,BORDEAUX,61,56,91.8,80.042
2021,BAC GENERAL,FEMININ,ENSEIGNEMENT A DISTANCE,AMIENS,33,30,90.91,74.498
2021,BAC GENERAL,FEMININ,ENSEIGNEMENT A DISTANCE,GRENOBLE,76,75,98.68,86.992
2021,BAC GENERAL,FEMININ,SCOLAIRE,NICE,6354,6239,98.19,97.188
2021,BAC GENERAL,FEMININ,SCOLAIRE,NANTES,11992,11872,99.0,98.304
